level,cell_type,number_of_cells,ds
Level_2,Vascular,25,85_Siletti_Midbrain.RN_Human_2022
Level_2,Fibroblast,26,85_Siletti_Midbrain.RN_Human_2022
Level_2,Microglia,157,85_Siletti_Midbrain.RN_Human_2022
Level_2,Miscellaneous,10,85_Siletti_Midbrain.RN_Human_2022
Level_2,Committed oligodendrocyte precursor,34,86_Siletti_Myelencephalon.MoAN_Human_2022
Level_2,Oligodendrocyte,5227,86_Siletti_Myelencephalon.MoAN_Human_2022
Level_2,Oligodendrocyte precursor,778,86_Siletti_Myelencephalon.MoAN_Human_2022
Level_2,Splatter,9507,86_Siletti_Myelencephalon.MoAN_Human_2022
Level_2,Midbrain-derived inhibitory,6,86_Siletti_Myelencephalon.MoAN_Human_2022
Level_2,Upper-layer intratelencephalic,4,86_Siletti_Myelencephalon.MoAN_Human_2022
Level_2,CGE interneuron,7,86_Siletti_Myelencephalon.MoAN_Human_2022
Level_2,MGE interneuron,4,86_Siletti_Myelencephalon.MoAN_Human_2022
Level_2,Lower rhombic lip,584,86_Siletti_Myelencephalon.MoAN_Human_2022
Level_2,Miscellaneous,96,86_Siletti_Myelencephalon.MoAN_Human_2022
Level_2,Cerebellar inhibitory,293,86_Siletti_Myelencephalon.MoAN_Human_2022
Level_2,Upper rhombic lip,5062,86_Siletti_Myelencephalon.MoAN_Human_2022
Level_2,Ependymal,372,86_Siletti_Myelencephalon.MoAN_Human_2022
Level_2,Choroid plexus,1054,86_Siletti_Myelencephalon.MoAN_Human_2022
Level_2,Bergmann glia,101,86_Siletti_Myelencephalon.MoAN_Human_2022
Level_2,Astrocyte,2612,86_Siletti_Myelencephalon.MoAN_Human_2022
Level_2,Fibroblast,179,86_Siletti_Myelencephalon.MoAN_Human_2022
Level_2,Vascular,209,86_Siletti_Myelencephalon.MoAN_Human_2022
Level_2,Microglia,1006,86_Siletti_Myelencephalon.MoAN_Human_2022
Level_2,Miscellaneous,48,87_Siletti_Myelencephalon.MoRF-MoEN_Human_2022
Level_2,Microglia,1135,87_Siletti_Myelencephalon.MoRF-MoEN_Human_2022
Level_2,Vascular,107,87_Siletti_Myelencephalon.MoRF-MoEN_Human_2022
Level_2,Fibroblast,97,87_Siletti_Myelencephalon.MoRF-MoEN_Human_2022
Level_2,Ependymal,304,87_Siletti_Myelencephalon.MoRF-MoEN_Human_2022
Level_2,Choroid plexus,36,87_Siletti_Myelencephalon.MoRF-MoEN_Human_2022
Level_2,Committed oligodendrocyte precursor,18,87_Siletti_Myelencephalon.MoRF-MoEN_Human_2022
Level_2,Bergmann glia,19,87_Siletti_Myelencephalon.MoRF-MoEN_Human_2022
Level_2,Astrocyte,1282,87_Siletti_Myelencephalon.MoRF-MoEN_Human_2022
Level_2,Oligodendrocyte precursor,798,87_Siletti_Myelencephalon.MoRF-MoEN_Human_2022
Level_2,Oligodendrocyte,5270,87_Siletti_Myelencephalon.MoRF-MoEN_Human_2022
Level_2,Upper rhombic lip,3854,87_Siletti_Myelencephalon.MoRF-MoEN_Human_2022
Level_2,Splatter,9375,87_Siletti_Myelencephalon.MoRF-MoEN_Human_2022
Level_2,CGE interneuron,2,87_Siletti_Myelencephalon.MoRF-MoEN_Human_2022
Level_2,Cerebellar inhibitory,38,87_Siletti_Myelencephalon.MoRF-MoEN_Human_2022
Level_2,Midbrain-derived inhibitory,27,87_Siletti_Myelencephalon.MoRF-MoEN_Human_2022
Level_2,Lower rhombic lip,398,87_Siletti_Myelencephalon.MoRF-MoEN_Human_2022
Level_2,Upper-layer intratelencephalic,1,87_Siletti_Myelencephalon.MoRF-MoEN_Human_2022
Level_2,Oligodendrocyte,7288,88_Siletti_Myelencephalon.PrCbN.IO_Human_2022
Level_2,Oligodendrocyte precursor,924,88_Siletti_Myelencephalon.PrCbN.IO_Human_2022
Level_2,Committed oligodendrocyte precursor,16,88_Siletti_Myelencephalon.PrCbN.IO_Human_2022
Level_2,CGE interneuron,8,88_Siletti_Myelencephalon.PrCbN.IO_Human_2022
Level_2,Upper-layer intratelencephalic,6,88_Siletti_Myelencephalon.PrCbN.IO_Human_2022
Level_2,MGE interneuron,1,88_Siletti_Myelencephalon.PrCbN.IO_Human_2022
Level_2,Splatter,804,88_Siletti_Myelencephalon.PrCbN.IO_Human_2022
Level_2,Cerebellar inhibitory,193,88_Siletti_Myelencephalon.PrCbN.IO_Human_2022
Level_2,Midbrain-derived inhibitory,31,88_Siletti_Myelencephalon.PrCbN.IO_Human_2022
Level_2,Miscellaneous,75,88_Siletti_Myelencephalon.PrCbN.IO_Human_2022
Level_2,Lower rhombic lip,984,88_Siletti_Myelencephalon.PrCbN.IO_Human_2022
Level_2,Upper rhombic lip,8338,88_Siletti_Myelencephalon.PrCbN.IO_Human_2022
Level_2,Bergmann glia,22,88_Siletti_Myelencephalon.PrCbN.IO_Human_2022
Level_2,Astrocyte,1249,88_Siletti_Myelencephalon.PrCbN.IO_Human_2022
Level_2,Ependymal,1,88_Siletti_Myelencephalon.PrCbN.IO_Human_2022
Level_2,Fibroblast,198,88_Siletti_Myelencephalon.PrCbN.IO_Human_2022
Level_2,Vascular,254,88_Siletti_Myelencephalon.PrCbN.IO_Human_2022
Level_2,Microglia,1057,88_Siletti_Myelencephalon.PrCbN.IO_Human_2022
Level_2,Miscellaneous,28,89_Siletti_Myelencephalon.MoSR_Human_2022
Level_2,Microglia,74,89_Siletti_Myelencephalon.MoSR_Human_2022
Level_2,Vascular,127,89_Siletti_Myelencephalon.MoSR_Human_2022
Level_2,Fibroblast,107,89_Siletti_Myelencephalon.MoSR_Human_2022
Level_2,Oligodendrocyte,4953,89_Siletti_Myelencephalon.MoSR_Human_2022
Level_2,Oligodendrocyte precursor,194,89_Siletti_Myelencephalon.MoSR_Human_2022
Level_2,Committed oligodendrocyte precursor,50,89_Siletti_Myelencephalon.MoSR_Human_2022
Level_2,Splatter,5310,89_Siletti_Myelencephalon.MoSR_Human_2022
Level_2,Choroid plexus,307,89_Siletti_Myelencephalon.MoSR_Human_2022
Level_2,Bergmann glia,7,89_Siletti_Myelencephalon.MoSR_Human_2022
Level_2,Astrocyte,350,89_Siletti_Myelencephalon.MoSR_Human_2022
Level_2,Ependymal,242,89_Siletti_Myelencephalon.MoSR_Human_2022
Level_2,Upper rhombic lip,1042,89_Siletti_Myelencephalon.MoSR_Human_2022
Level_2,Lower rhombic lip,515,89_Siletti_Myelencephalon.MoSR_Human_2022
Level_2,Cerebellar inhibitory,202,89_Siletti_Myelencephalon.MoSR_Human_2022
Level_2,CGE interneuron,10,89_Siletti_Myelencephalon.MoSR_Human_2022
Level_2,LAMP5-LHX6 and Chandelier,1,89_Siletti_Myelencephalon.MoSR_Human_2022
Level_2,MGE interneuron,2,89_Siletti_Myelencephalon.MoSR_Human_2022
Level_2,Midbrain-derived inhibitory,15,89_Siletti_Myelencephalon.MoSR_Human_2022
Level_2,Upper-layer intratelencephalic,5,89_Siletti_Myelencephalon.MoSR_Human_2022
Level_2,Miscellaneous,156,90_Siletti_Pons.PnRF_Human_2022
Level_2,Microglia,3223,90_Siletti_Pons.PnRF_Human_2022
Level_2,Vascular,228,90_Siletti_Pons.PnRF_Human_2022
Level_2,Fibroblast,250,90_Siletti_Pons.PnRF_Human_2022
Level_2,Choroid plexus,1,90_Siletti_Pons.PnRF_Human_2022
Level_2,Ependymal,2,90_Siletti_Pons.PnRF_Human_2022
Level_2,Astrocyte,3432,90_Siletti_Pons.PnRF_Human_2022
Level_2,Bergmann glia,7,90_Siletti_Pons.PnRF_Human_2022
Level_2,Committed oligodendrocyte precursor,34,90_Siletti_Pons.PnRF_Human_2022
Level_2,Oligodendrocyte,21939,90_Siletti_Pons.PnRF_Human_2022
Level_2,Oligodendrocyte precursor,4198,90_Siletti_Pons.PnRF_Human_2022
Level_2,Upper-layer intratelencephalic,3,90_Siletti_Pons.PnRF_Human_2022
Level_2,Lower rhombic lip,10222,90_Siletti_Pons.PnRF_Human_2022
Level_2,Splatter,3963,90_Siletti_Pons.PnRF_Human_2022
Level_2,CGE interneuron,1,90_Siletti_Pons.PnRF_Human_2022
Level_2,Midbrain-derived inhibitory,380,90_Siletti_Pons.PnRF_Human_2022
Level_2,Cerebellar inhibitory,174,90_Siletti_Pons.PnRF_Human_2022
Level_2,Upper rhombic lip,1227,90_Siletti_Pons.PnRF_Human_2022
Level_2,Miscellaneous,134,91_Siletti_Pons.PnEN_Human_2022
Level_2,Microglia,860,91_Siletti_Pons.PnEN_Human_2022
Level_2,Vascular,323,91_Siletti_Pons.PnEN_Human_2022
Level_2,Fibroblast,255,91_Siletti_Pons.PnEN_Human_2022
Level_2,Choroid plexus,1,91_Siletti_Pons.PnEN_Human_2022
Level_2,Ependymal,119,91_Siletti_Pons.PnEN_Human_2022
Level_2,Astrocyte,2400,91_Siletti_Pons.PnEN_Human_2022
Level_2,Bergmann glia,34,91_Siletti_Pons.PnEN_Human_2022
Level_2,Oligodendrocyte precursor,2110,91_Siletti_Pons.PnEN_Human_2022
Level_2,Committed oligodendrocyte precursor,77,91_Siletti_Pons.PnEN_Human_2022
Level_2,Oligodendrocyte,15948,91_Siletti_Pons.PnEN_Human_2022
Level_2,Cerebellar inhibitory,604,91_Siletti_Pons.PnEN_Human_2022
Level_2,Midbrain-derived inhibitory,676,91_Siletti_Pons.PnEN_Human_2022
Level_2,CGE interneuron,7,91_Siletti_Pons.PnEN_Human_2022
Level_2,LAMP5-LHX6 and Chandelier,1,91_Siletti_Pons.PnEN_Human_2022
Level_2,Upper-layer intratelencephalic,6,91_Siletti_Pons.PnEN_Human_2022
Level_2,Upper rhombic lip,1897,91_Siletti_Pons.PnEN_Human_2022
Level_2,Splatter,8114,91_Siletti_Pons.PnEN_Human_2022
Level_2,Lower rhombic lip,13582,91_Siletti_Pons.PnEN_Human_2022
Level_2,Deep-layer intratelencephalic,1,92_Siletti_Pons.PN_Human_2022
Level_2,Upper-layer intratelencephalic,1,92_Siletti_Pons.PN_Human_2022
Level_2,MGE interneuron,2,92_Siletti_Pons.PN_Human_2022
Level_2,LAMP5-LHX6 and Chandelier,3,92_Siletti_Pons.PN_Human_2022
Level_2,CGE interneuron,5,92_Siletti_Pons.PN_Human_2022
Level_2,Midbrain-derived inhibitory,284,92_Siletti_Pons.PN_Human_2022
Level_2,Cerebellar inhibitory,68,92_Siletti_Pons.PN_Human_2022
Level_2,Splatter,33,92_Siletti_Pons.PN_Human_2022
Level_2,Lower rhombic lip,17179,92_Siletti_Pons.PN_Human_2022
Level_2,Upper rhombic lip,418,92_Siletti_Pons.PN_Human_2022
Level_2,Miscellaneous,72,92_Siletti_Pons.PN_Human_2022
Level_2,Committed oligodendrocyte precursor,15,92_Siletti_Pons.PN_Human_2022
Level_2,Oligodendrocyte,10189,92_Siletti_Pons.PN_Human_2022
Level_2,Oligodendrocyte precursor,2503,92_Siletti_Pons.PN_Human_2022
Level_2,Astrocyte,848,92_Siletti_Pons.PN_Human_2022
Level_2,Fibroblast,199,92_Siletti_Pons.PN_Human_2022
Level_2,Vascular,200,92_Siletti_Pons.PN_Human_2022
Level_2,Microglia,1376,92_Siletti_Pons.PN_Human_2022
Level_2,Miscellaneous,19,93_Siletti_Pons.XPnTg.DTg_Human_2022
Level_2,Microglia,274,93_Siletti_Pons.XPnTg.DTg_Human_2022
Level_2,Ependymal,76,93_Siletti_Pons.XPnTg.DTg_Human_2022
Level_2,Astrocyte,1204,93_Siletti_Pons.XPnTg.DTg_Human_2022
Level_2,Bergmann glia,5,93_Siletti_Pons.XPnTg.DTg_Human_2022
Level_2,Fibroblast,160,93_Siletti_Pons.XPnTg.DTg_Human_2022
Level_2,Vascular,130,93_Siletti_Pons.XPnTg.DTg_Human_2022
Level_2,Splatter,9243,93_Siletti_Pons.XPnTg.DTg_Human_2022
Level_2,Mammillary body,1,93_Siletti_Pons.XPnTg.DTg_Human_2022
Level_2,Upper-layer intratelencephalic,1,93_Siletti_Pons.XPnTg.DTg_Human_2022
Level_2,Lower rhombic lip,7258,93_Siletti_Pons.XPnTg.DTg_Human_2022
Level_2,Upper rhombic lip,321,93_Siletti_Pons.XPnTg.DTg_Human_2022
Level_2,Cerebellar inhibitory,144,93_Siletti_Pons.XPnTg.DTg_Human_2022
Level_2,CGE interneuron,4,93_Siletti_Pons.XPnTg.DTg_Human_2022
Level_2,LAMP5-LHX6 and Chandelier,2,93_Siletti_Pons.XPnTg.DTg_Human_2022
Level_2,Midbrain-derived inhibitory,946,93_Siletti_Pons.XPnTg.DTg_Human_2022
Level_2,Oligodendrocyte precursor,1107,93_Siletti_Pons.XPnTg.DTg_Human_2022
Level_2,Committed oligodendrocyte precursor,17,93_Siletti_Pons.XPnTg.DTg_Human_2022
Level_2,Oligodendrocyte,5104,93_Siletti_Pons.XPnTg.DTg_Human_2022
Level_2,Upper rhombic lip,3054,94_Siletti_Pons.PnRF.PB_Human_2022
Level_2,Miscellaneous,74,94_Siletti_Pons.PnRF.PB_Human_2022
Level_2,Cerebellar inhibitory,224,94_Siletti_Pons.PnRF.PB_Human_2022
Level_2,Midbrain-derived inhibitory,1411,94_Siletti_Pons.PnRF.PB_Human_2022
Level_2,Committed oligodendrocyte precursor,12,94_Siletti_Pons.PnRF.PB_Human_2022
Level_2,Splatter,10400,94_Siletti_Pons.PnRF.PB_Human_2022
Level_2,Amygdala excitatory,1,94_Siletti_Pons.PnRF.PB_Human_2022
Level_2,CGE interneuron,6,94_Siletti_Pons.PnRF.PB_Human_2022
Level_2,Lower rhombic lip,342,94_Siletti_Pons.PnRF.PB_Human_2022
Level_2,Upper-layer intratelencephalic,6,94_Siletti_Pons.PnRF.PB_Human_2022
Level_2,MGE interneuron,1,94_Siletti_Pons.PnRF.PB_Human_2022
Level_2,Oligodendrocyte,4942,94_Siletti_Pons.PnRF.PB_Human_2022
Level_2,Oligodendrocyte precursor,1161,94_Siletti_Pons.PnRF.PB_Human_2022
Level_2,Astrocyte,1503,94_Siletti_Pons.PnRF.PB_Human_2022
Level_2,Bergmann glia,7,94_Siletti_Pons.PnRF.PB_Human_2022
Level_2,Ependymal,4,94_Siletti_Pons.PnRF.PB_Human_2022
Level_2,Fibroblast,97,94_Siletti_Pons.PnRF.PB_Human_2022
Level_2,Vascular,86,94_Siletti_Pons.PnRF.PB_Human_2022
Level_2,Microglia,761,94_Siletti_Pons.PnRF.PB_Human_2022
Level_2,Committed oligodendrocyte precursor,9,95_Siletti_Pons.PnAN_Human_2022
Level_2,Oligodendrocyte,6413,95_Siletti_Pons.PnAN_Human_2022
Level_2,Upper rhombic lip,12093,95_Siletti_Pons.PnAN_Human_2022
Level_2,Cerebellar inhibitory,295,95_Siletti_Pons.PnAN_Human_2022
Level_2,Splatter,1056,95_Siletti_Pons.PnAN_Human_2022
Level_2,CGE interneuron,2,95_Siletti_Pons.PnAN_Human_2022
Level_2,Upper-layer intratelencephalic,3,95_Siletti_Pons.PnAN_Human_2022
Level_2,Miscellaneous,40,95_Siletti_Pons.PnAN_Human_2022
Level_2,Lower rhombic lip,94,95_Siletti_Pons.PnAN_Human_2022
Level_2,Amygdala excitatory,1,95_Siletti_Pons.PnAN_Human_2022
Level_2,Midbrain-derived inhibitory,51,95_Siletti_Pons.PnAN_Human_2022
Level_2,Oligodendrocyte precursor,785,95_Siletti_Pons.PnAN_Human_2022
Level_2,Astrocyte,1140,95_Siletti_Pons.PnAN_Human_2022
Level_2,Bergmann glia,96,95_Siletti_Pons.PnAN_Human_2022
Level_2,Ependymal,216,95_Siletti_Pons.PnAN_Human_2022
Level_2,Choroid plexus,17,95_Siletti_Pons.PnAN_Human_2022
Level_2,Fibroblast,46,95_Siletti_Pons.PnAN_Human_2022
Level_2,Vascular,96,95_Siletti_Pons.PnAN_Human_2022
Level_2,Microglia,823,95_Siletti_Pons.PnAN_Human_2022
Level_2,Oligodendrocyte,11501,96_Siletti_Spinalcord.Spc_Human_2022
Level_2,Committed oligodendrocyte precursor,44,96_Siletti_Spinalcord.Spc_Human_2022
Level_2,Oligodendrocyte precursor,1970,96_Siletti_Spinalcord.Spc_Human_2022
Level_2,Upper rhombic lip,859,96_Siletti_Spinalcord.Spc_Human_2022
Level_2,Splatter,4854,96_Siletti_Spinalcord.Spc_Human_2022
Level_2,Midbrain-derived inhibitory,3,96_Siletti_Spinalcord.Spc_Human_2022
Level_2,Upper-layer intratelencephalic,1,96_Siletti_Spinalcord.Spc_Human_2022
Level_2,CGE interneuron,2,96_Siletti_Spinalcord.Spc_Human_2022
Level_2,Cerebellar inhibitory,44,96_Siletti_Spinalcord.Spc_Human_2022
Level_2,Choroid plexus,1,96_Siletti_Spinalcord.Spc_Human_2022
Level_2,Ependymal,135,96_Siletti_Spinalcord.Spc_Human_2022
Level_2,Astrocyte,2433,96_Siletti_Spinalcord.Spc_Human_2022
Level_2,Bergmann glia,7,96_Siletti_Spinalcord.Spc_Human_2022
Level_2,Fibroblast,68,96_Siletti_Spinalcord.Spc_Human_2022
Level_2,Vascular,301,96_Siletti_Spinalcord.Spc_Human_2022
Level_2,Microglia,1676,96_Siletti_Spinalcord.Spc_Human_2022
Level_2,Miscellaneous,219,96_Siletti_Spinalcord.Spc_Human_2022
Level_2,Miscellaneous,45,97_Siletti_Thalamus.PoN.LG_Human_2022
Level_2,Microglia,434,97_Siletti_Thalamus.PoN.LG_Human_2022
Level_2,Vascular,349,97_Siletti_Thalamus.PoN.LG_Human_2022
Level_2,Committed oligodendrocyte precursor,75,97_Siletti_Thalamus.PoN.LG_Human_2022
Level_2,Oligodendrocyte,5272,97_Siletti_Thalamus.PoN.LG_Human_2022
Level_2,Oligodendrocyte precursor,778,97_Siletti_Thalamus.PoN.LG_Human_2022
Level_2,Astrocyte,1214,97_Siletti_Thalamus.PoN.LG_Human_2022
Level_2,Fibroblast,451,97_Siletti_Thalamus.PoN.LG_Human_2022
Level_2,Upper rhombic lip,62,97_Siletti_Thalamus.PoN.LG_Human_2022
Level_2,Splatter,3006,97_Siletti_Thalamus.PoN.LG_Human_2022
Level_2,Midbrain-derived inhibitory,11373,97_Siletti_Thalamus.PoN.LG_Human_2022
Level_2,Cerebellar inhibitory,3,97_Siletti_Thalamus.PoN.LG_Human_2022
Level_2,MGE interneuron,57,97_Siletti_Thalamus.PoN.LG_Human_2022
Level_2,LAMP5-LHX6 and Chandelier,103,97_Siletti_Thalamus.PoN.LG_Human_2022
Level_2,CGE interneuron,1106,97_Siletti_Thalamus.PoN.LG_Human_2022
Level_2,Eccentric medium spiny neuron,1,97_Siletti_Thalamus.PoN.LG_Human_2022
Level_2,Medium spiny neuron,3,97_Siletti_Thalamus.PoN.LG_Human_2022
Level_2,Hippocampal dentate gyrus,5,97_Siletti_Thalamus.PoN.LG_Human_2022
Level_2,Upper-layer intratelencephalic,7,97_Siletti_Thalamus.PoN.LG_Human_2022
Level_2,Hippocampal CA1-3,2,97_Siletti_Thalamus.PoN.LG_Human_2022
Level_2,Deep-layer corticothalamic and 6b,1,97_Siletti_Thalamus.PoN.LG_Human_2022
Level_2,Thalamic excitatory,23225,97_Siletti_Thalamus.PoN.LG_Human_2022
Level_2,Lower rhombic lip,1,98_Siletti_Thalamus.LNC.Pul_Human_2022
Level_2,Thalamic excitatory,12354,98_Siletti_Thalamus.LNC.Pul_Human_2022
Level_2,Splatter,217,98_Siletti_Thalamus.LNC.Pul_Human_2022
Level_2,Medium spiny neuron,10,98_Siletti_Thalamus.LNC.Pul_Human_2022
Level_2,Hippocampal dentate gyrus,307,98_Siletti_Thalamus.LNC.Pul_Human_2022
Level_2,Hippocampal CA4,11,98_Siletti_Thalamus.LNC.Pul_Human_2022
Level_2,Miscellaneous,59,98_Siletti_Thalamus.LNC.Pul_Human_2022
Level_2,Hippocampal CA1-3,1,98_Siletti_Thalamus.LNC.Pul_Human_2022
Level_2,Upper-layer intratelencephalic,12,98_Siletti_Thalamus.LNC.Pul_Human_2022
Level_2,Deep-layer intratelencephalic,1,98_Siletti_Thalamus.LNC.Pul_Human_2022
Level_2,LAMP5-LHX6 and Chandelier,119,98_Siletti_Thalamus.LNC.Pul_Human_2022
Level_2,CGE interneuron,684,98_Siletti_Thalamus.LNC.Pul_Human_2022
Level_2,MGE interneuron,60,98_Siletti_Thalamus.LNC.Pul_Human_2022
Level_2,Midbrain-derived inhibitory,16487,98_Siletti_Thalamus.LNC.Pul_Human_2022
Level_2,Upper rhombic lip,11,98_Siletti_Thalamus.LNC.Pul_Human_2022
Level_2,Committed oligodendrocyte precursor,50,98_Siletti_Thalamus.LNC.Pul_Human_2022
Level_2,Oligodendrocyte precursor,1392,98_Siletti_Thalamus.LNC.Pul_Human_2022
Level_2,Oligodendrocyte,9597,98_Siletti_Thalamus.LNC.Pul_Human_2022
Level_2,Choroid plexus,20,98_Siletti_Thalamus.LNC.Pul_Human_2022
Level_2,Ependymal,86,98_Siletti_Thalamus.LNC.Pul_Human_2022
Level_2,Astrocyte,2523,98_Siletti_Thalamus.LNC.Pul_Human_2022
Level_2,Bergmann glia,1,98_Siletti_Thalamus.LNC.Pul_Human_2022
Level_2,Fibroblast,356,98_Siletti_Thalamus.LNC.Pul_Human_2022
Level_2,Vascular,422,98_Siletti_Thalamus.LNC.Pul_Human_2022
Level_2,Microglia,1472,98_Siletti_Thalamus.LNC.Pul_Human_2022
Level_2,Splatter,11510,99_Siletti_Thalamus.ANC_Human_2022
Level_2,Thalamic excitatory,5993,99_Siletti_Thalamus.ANC_Human_2022
Level_2,MGE interneuron,63,99_Siletti_Thalamus.ANC_Human_2022
Level_2,LAMP5-LHX6 and Chandelier,161,99_Siletti_Thalamus.ANC_Human_2022
Level_2,CGE interneuron,414,99_Siletti_Thalamus.ANC_Human_2022
Level_2,Midbrain-derived inhibitory,4809,99_Siletti_Thalamus.ANC_Human_2022
Level_2,Amygdala excitatory,162,99_Siletti_Thalamus.ANC_Human_2022
Level_2,Medium spiny neuron,924,99_Siletti_Thalamus.ANC_Human_2022
Level_2,Eccentric medium spiny neuron,746,99_Siletti_Thalamus.ANC_Human_2022
Level_2,Upper-layer intratelencephalic,4,99_Siletti_Thalamus.ANC_Human_2022
Level_2,Miscellaneous,50,99_Siletti_Thalamus.ANC_Human_2022
Level_2,Upper rhombic lip,7,99_Siletti_Thalamus.ANC_Human_2022
Level_2,Ependymal,90,99_Siletti_Thalamus.ANC_Human_2022
Level_2,Astrocyte,572,99_Siletti_Thalamus.ANC_Human_2022
Level_2,Oligodendrocyte precursor,1145,99_Siletti_Thalamus.ANC_Human_2022
Level_2,Committed oligodendrocyte precursor,87,99_Siletti_Thalamus.ANC_Human_2022
Level_2,Oligodendrocyte,3677,99_Siletti_Thalamus.ANC_Human_2022
Level_2,Choroid plexus,7,99_Siletti_Thalamus.ANC_Human_2022
Level_2,Vascular,155,99_Siletti_Thalamus.ANC_Human_2022
Level_2,Fibroblast,83,99_Siletti_Thalamus.ANC_Human_2022
Level_2,Microglia,452,99_Siletti_Thalamus.ANC_Human_2022
Level_2,Microglia,976,100_Siletti_Thalamus.LNC.VLN_Human_2022
Level_2,Miscellaneous,43,100_Siletti_Thalamus.LNC.VLN_Human_2022
Level_2,Vascular,125,100_Siletti_Thalamus.LNC.VLN_Human_2022
Level_2,Fibroblast,291,100_Siletti_Thalamus.LNC.VLN_Human_2022
Level_2,Astrocyte,1369,100_Siletti_Thalamus.LNC.VLN_Human_2022
Level_2,Ependymal,9,100_Siletti_Thalamus.LNC.VLN_Human_2022
Level_2,Committed oligodendrocyte precursor,936,100_Siletti_Thalamus.LNC.VLN_Human_2022
Level_2,Oligodendrocyte precursor,1349,100_Siletti_Thalamus.LNC.VLN_Human_2022
Level_2,Oligodendrocyte,7520,100_Siletti_Thalamus.LNC.VLN_Human_2022
Level_2,Splatter,849,100_Siletti_Thalamus.LNC.VLN_Human_2022
Level_2,Amygdala excitatory,1,100_Siletti_Thalamus.LNC.VLN_Human_2022
Level_2,Upper-layer intratelencephalic,4,100_Siletti_Thalamus.LNC.VLN_Human_2022
Level_2,Midbrain-derived inhibitory,7946,100_Siletti_Thalamus.LNC.VLN_Human_2022
Level_2,MGE interneuron,21,100_Siletti_Thalamus.LNC.VLN_Human_2022
Level_2,CGE interneuron,113,100_Siletti_Thalamus.LNC.VLN_Human_2022
Level_2,LAMP5-LHX6 and Chandelier,10,100_Siletti_Thalamus.LNC.VLN_Human_2022
Level_2,Thalamic excitatory,5469,100_Siletti_Thalamus.LNC.VLN_Human_2022
Level_2,Medium spiny neuron,14,100_Siletti_Thalamus.LNC.VLN_Human_2022
Level_2,Eccentric medium spiny neuron,20,100_Siletti_Thalamus.LNC.VLN_Human_2022
Level_2,Upper rhombic lip,2,100_Siletti_Thalamus.LNC.VLN_Human_2022
Level_2,Upper rhombic lip,1,101_Siletti_Thalamus.LNC.LP_Human_2022
Level_2,Deep-layer near-projecting,1,101_Siletti_Thalamus.LNC.LP_Human_2022
Level_2,Deep-layer corticothalamic and 6b,2,101_Siletti_Thalamus.LNC.LP_Human_2022
Level_2,Deep-layer intratelencephalic,1,101_Siletti_Thalamus.LNC.LP_Human_2022
Level_2,Upper-layer intratelencephalic,5,101_Siletti_Thalamus.LNC.LP_Human_2022
Level_2,Medium spiny neuron,4,101_Siletti_Thalamus.LNC.LP_Human_2022
Level_2,Eccentric medium spiny neuron,3,101_Siletti_Thalamus.LNC.LP_Human_2022
Level_2,CGE interneuron,226,101_Siletti_Thalamus.LNC.LP_Human_2022
Level_2,MGE interneuron,42,101_Siletti_Thalamus.LNC.LP_Human_2022
Level_2,Splatter,182,101_Siletti_Thalamus.LNC.LP_Human_2022
Level_2,LAMP5-LHX6 and Chandelier,28,101_Siletti_Thalamus.LNC.LP_Human_2022
Level_2,Midbrain-derived inhibitory,7916,101_Siletti_Thalamus.LNC.LP_Human_2022
Level_2,Thalamic excitatory,4107,101_Siletti_Thalamus.LNC.LP_Human_2022
Level_2,Committed oligodendrocyte precursor,30,101_Siletti_Thalamus.LNC.LP_Human_2022
Level_2,Oligodendrocyte,9072,101_Siletti_Thalamus.LNC.LP_Human_2022
Level_2,Oligodendrocyte precursor,1460,101_Siletti_Thalamus.LNC.LP_Human_2022
Level_2,Astrocyte,1851,101_Siletti_Thalamus.LNC.LP_Human_2022
Level_2,Fibroblast,264,101_Siletti_Thalamus.LNC.LP_Human_2022
Level_2,Vascular,292,101_Siletti_Thalamus.LNC.LP_Human_2022
Level_2,Microglia,639,101_Siletti_Thalamus.LNC.LP_Human_2022
Level_2,Miscellaneous,44,101_Siletti_Thalamus.LNC.LP_Human_2022
Level_2,Miscellaneous,36,102_Siletti_Thalamus.ILN.PILN.CM.Pf_Human_2022
Level_2,Microglia,640,102_Siletti_Thalamus.ILN.PILN.CM.Pf_Human_2022
Level_2,Oligodendrocyte precursor,815,102_Siletti_Thalamus.ILN.PILN.CM.Pf_Human_2022
Level_2,Committed oligodendrocyte precursor,63,102_Siletti_Thalamus.ILN.PILN.CM.Pf_Human_2022
Level_2,Splatter,1963,102_Siletti_Thalamus.ILN.PILN.CM.Pf_Human_2022
Level_2,Oligodendrocyte,5054,102_Siletti_Thalamus.ILN.PILN.CM.Pf_Human_2022
Level_2,Astrocyte,1222,102_Siletti_Thalamus.ILN.PILN.CM.Pf_Human_2022
Level_2,Ependymal,27,102_Siletti_Thalamus.ILN.PILN.CM.Pf_Human_2022
Level_2,Choroid plexus,1,102_Siletti_Thalamus.ILN.PILN.CM.Pf_Human_2022
Level_2,Fibroblast,375,102_Siletti_Thalamus.ILN.PILN.CM.Pf_Human_2022
Level_2,Vascular,126,102_Siletti_Thalamus.ILN.PILN.CM.Pf_Human_2022
Level_2,Thalamic excitatory,6521,102_Siletti_Thalamus.ILN.PILN.CM.Pf_Human_2022
